24-09-11 00:13:07.229 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=394863900, setName='atlas-1jd1b5-shard-0', canonicalAddress=ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, hosts=[ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=89, topologyVersion=TopologyVersion{processId=66ce9649666e6170cf21b8dd, counter=5}, lastWriteDate=Wed Sep 11 00:13:07 IST 2024, lastUpdateTimeNanos=1166207154080000} 
24-09-11 00:13:07.229 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=395199600, setName='atlas-1jd1b5-shard-0', canonicalAddress=ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017, hosts=[ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=89, topologyVersion=TopologyVersion{processId=66ce979ac42c0c1ebcf44e76, counter=5}, lastWriteDate=Wed Sep 11 00:13:07 IST 2024, lastUpdateTimeNanos=1166207154325600} 
24-09-11 00:13:07.229 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=395575300, setName='atlas-1jd1b5-shard-0', canonicalAddress=ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, hosts=[ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000005f, setVersion=89, topologyVersion=TopologyVersion{processId=66ce9510c120e25dffd64538, counter=9}, lastWriteDate=Wed Sep 11 00:13:07 IST 2024, lastUpdateTimeNanos=1166207154357700} 
24-09-11 00:13:07.235 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017 with max election id 7fffffff000000000000005f and max set version 89 
24-09-11 00:13:08.568 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@143413cd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b32465, org.springframework.security.web.context.SecurityContextHolderFilter@14656be5, org.springframework.security.web.header.HeaderWriterFilter@32d0d7eb, org.springframework.web.filter.CorsFilter@146f3d22, org.springframework.security.web.authentication.logout.LogoutFilter@55e42684, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@a03529c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5db9f51f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@343db2f6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66b6873f, org.springframework.security.web.access.ExceptionTranslationFilter@782e6b40, org.springframework.security.web.access.intercept.AuthorizationFilter@55061418] 
24-09-11 00:13:09.426 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
24-09-11 00:13:09.503 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal' 
24-09-11 00:13:09.573 [main] INFO  c.e.journalApp.JournalApplication - Started JournalApplication in 7.76 seconds (process running for 9.245) 
24-09-11 00:14:20.109 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: UserRepositoryImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
24-09-11 00:14:20.329 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.engineeringdigest.journalApp.JournalApplication for test class com.engineeringdigest.journalApp.repository.UserRepositoryImplTests 
